date,year,country,state,location,activity,injury,time,species,unnamed_21,unnamed_22,incident_date,month,decade,sex_clean,age_numeric,age_group,fatal,activity_group,incident_type
29th January,2026,BRAZIL,Recife,Del Chifre Beach in Olinda,Swimming,Right thigh and lower leg stripped of flesh,?,Unknown bull and tiger sharks frequent the area,,,2026-01-29,January,2020,M,13,0–17,Yes,Swimming/Wading,Unprovoked
29th January,2026,AUSTRALIA,NSW,Angels Beach East Ballina,Surfing,No injury shark knocked man of his board,1100hrs,Unknown,,,2026-01-29,January,2020,M,,Unknown,No,Surfing,Unprovoked
24th January,2026,AUSTRALIA,Tasmania,Cooee Beach west of Burnie,Swimming,Puncture wounds to right knee,1815hrs,1.7m Seven Gill shark,,,2026-01-24,January,2020,F,,Unknown,No,Swimming/Wading,Unprovoked
20th January,2026,AUSTRALIA,NSW,Point Plomber North of Port Macquarie,Surfing,Minor cuts and abrasions,0830hrs,Bull shark,,,2026-01-20,January,2020,M,39,30–44,No,Surfing,Unprovoked
19th January,2026,AUSTRALIA,NSW,Dee Why,Surfing,None reported damage to board,1145hrs,Bull shark,,,2026-01-19,January,2020,M,11,0–17,No,Surfing,Unprovoked
19th January,2026,AUSTRALIA,NSW,North Steyne,Surfing,Serious Leg injuries,1820hrs,5m shark species not determined,,,2026-01-19,January,2020,M,27,18–29,No,Surfing,Unprovoked
18th January,2026,AUSTRALIA,NSW,Nielsen Park Vaucluse Sydney Harbour,Jumping off rocks,Serious leg injuries,1620hrs,Bull shark,,,2026-01-18,January,2020,M,12,0–17,Yes,Other/Unknown,Unprovoked
13th January,2026,USA,California,Mendocino County,Surfing,Minor puncture wounds to upper left thigh,0830hrs,Suspected GWS,,,2026-01-13,January,2020,M,26,18–29,No,Surfing,Unprovoked
10th January,2026,AUSTRALIA,NSW,Avalon Beach,Surfing,Puncture mark to left thumb,0540hrs,Unknown,,,2026-01-10,January,2020,M,,Unknown,No,Surfing,Unprovoked
8th January,2026,US VIRGIN ISLANDS,Fredricksted Island St Croix,Dorsch Beach,Snorkeling,Left arm torn off in the attack below the elbow,1628hrs,Unknown,,,2026-01-08,January,2020,F,56,45–59,Yes,Diving/Snorkeling,Unprovoked
5th January,2026,MOZAMBIQUE,Inhambe Province,Vilanculous District,Diving,Unknlown,?,Unknown,,,2026-01-05,January,2020,M,,Unknown,Yes,Diving/Snorkeling,Unprovoked
3rd January ,2026,NEW CALEDONIA,Kélé,Between Bourail and Moindou,Scuba Diving,Injuries to upper limbs,?,Unknown,,,2026-01-03,January,2020,M,,Unknown,No,Diving/Snorkeling,Provoked
25th December,2025,MOZAMBIQUE,Inhambe Province,Prainha,Not stated,One leg missing and also a portion of the other leg,?,Unknown,,,2025-12-25,December,2020,Unknown,,Unknown,Yes,Other/Unknown,Unprovoked
21st December,2025,AUSTRALIA,Western Australia,Ocean Reef North Perth,SCUBA Diving,None to report,?,Great White Shark,,,2025-12-21,December,2020,M,,Unknown,No,Diving/Snorkeling,Unprovoked
21st December,2025,USA,California,Lovers Point Pacific Grove,Swimming,Taken by shark body recovered with multiple injuries,1200hrs,Great White Shark,,,2025-12-21,December,2020,F,55,45–59,Yes,Swimming/Wading,Unprovoked
12th December,2025,USA,Sonoma County California,Salmon Creek,Surfing,Hand Injury,0800hrs,Suspected Great White Shark,,,2025-12-12,December,2020,M,,Unknown,No,Surfing,Unprovoked
9th December,2025,USA,Hawaii West Coast Big Island,"Ka'alu""alu Beach",Freeing trapped shark,Bite wounds to thigh,1630hrs,Black Tip Reef Shark,,,2025-12-09,December,2020,M,24,18–29,No,Other/Unknown,Provoked
27th November ,2025,AUSTRALIA,NSW,Crowdy Bay,Swimming,Serious leg injuries,0630hrs,3m Bull shark,,,2025-11-27,November,2020,M,26,18–29,No,Swimming/Wading,Unprovoked
27th November ,2025,AUSTRALIA,NSW,Crowdy Bay,Swimming,Not stated,0630hrs,3m Bull shark,,,2025-11-27,November,2020,F,25,18–29,Yes,Swimming/Wading,Unprovoked
10th November,2025,AUSTRALIA,Western Australia,Prevelly Beach Magaret River,Foil Boarding,No Injury to self,1745hrs,Great White Shark,,,2025-11-10,November,2020,M,61,60+,No,Other/Unknown,Unprovoked
9th November,2025,FRENCH POLYNESIA,Marquesas Islands,Hakahau Bay,Swimming,Deep Gash to bicep,Not stated,3m shark,,,2025-11-09,November,2020,M,40,30–44,No,Swimming/Wading,Unprovoked
5th November,2025,USA,Hawaii,Pine Trees Hanalei Bay Kaui,Swimming,Injuries to legs,Mid afternoon,Unknown,,,2025-11-05,November,2020,M,,Unknown,No,Swimming/Wading,Unprovoked
5th November,2025,USA,Texas,Matagorda Beach Matagorda,Fishing,Laceration on top and undermeath right foot,Not stated,Not stgated,,,2025-11-05,November,2020,M,,Unknown,No,Fishing,Unprovoked
4th November,2025,SAMOA,,Aga Reef Resort Lalomanu,Surfing,Lacerations to right leg,1800hrs,Suspected Tiger shark,,,2025-11-04,November,2020,M,13,0–17,No,Surfing,Unprovoked
14th October,2025,COLUMBIA,"Bolivar, del Isolate",Catagena Province,Swimming with sharks,Severe hand injury,Not stated,Nurse shark,,,2025-10-14,October,2020,M,14,0–17,No,Swimming/Wading,Unprovoked
11th October,2025,AUSTRALIA,Queensland,Cook Esplanade Thursday Island,Fishing/swimming,Serious abdonminal injuries,1823 hrs,Tiger or Bull shark,,,2025-10-11,October,2020,M,14,0–17,No,Swimming/Wading,Unprovoked
7th October,2025,AUSTRALIA,South Australia,Kangaroo Island,Surfing,Lacerations to calf,1330hrs,Bronze whaler?,,,2025-10-07,October,2020,M,50,45–59,No,Surfing,Unprovoked
29th September,2025,USA,Off California,Catalina Island,Swimming,Leg and foot injury,0100hrs,unknown 1.2m shark,,,2025-09-29,September,2020,M,54,45–59,No,Swimming/Wading,Unprovoked
27th September,2025,COSTA RICA,,Cocos Islands,Diving-Tagging sharks,Head face and arms,Not stated,Tiger shark 4m,,,2025-09-27,September,2020,M,48,45–59,No,Diving/Snorkeling,Provoked
6th September,2025,AUSTRALIA,NSW,Long Reef Sydney,Surfing,Both legs and arm severed,0930hrs,Great White Shark,,,2025-09-06,September,2020,M,57,45–59,Yes,Surfing,Unprovoked
1st September,2025,USA,Florida,Horseshoe reef Key Largo,Snorkeling,Bite to leg,1524hrs,Not stated,,,2025-09-01,September,2020,M,8,0–17,No,Diving/Snorkeling,Unprovoked
30th August,2025,USA,Texas,Galveston,Swimming,Bite to leg,Not stated,Not stated,,,2025-08-30,August,2020,F,8,0–17,No,Swimming/Wading,Unprovoked
18th August,2025,AUSTRALIA,NSW,Cabarita Beach,Surfing,None sustained board severly damaged,0730hrs,5m (16.5ft) Great White,,,2025-08-18,August,2020,M,,Unknown,No,Surfing,Unprovoked
17th August,2025,BAHAMAS,Atlantic Ocean near Big Grand Cay,North of Grand Bahama near Freeport,Spearfishing,Severe injuries no detail,1300hrs,Undetermined,,,2025-08-17,August,2020,M,63,60+,No,Fishing,Unprovoked
16th August,2025,USA,Florida,Cayo Costa Boca Grande,Fishing,Laceration to right leg below the knee,1055 hrs,Lemon shark 1.8 m (6ft),,,2025-08-16,August,2020,M,,Unknown,No,Fishing,Provoked
7th August,2025,AUSTRALIA,NSW,Tathra Beach,Surfing,None sustained board severely damaged,1630hrs,Suspected Great White,,,2025-08-07,August,2020,M,9,0–17,No,Surfing,Unprovoked
1st August,2025,PUERTO RICO,Carolina,Carolina Beach,Wading,Bite to thigh area,Not stated,Undetermined,,,2025-08-01,August,2020,F,39,30–44,No,Swimming/Wading,Unprovoked
28th July,2025,AUSTRALIA,South Australia,Seacliff beach Adelaide,Kayaking,Kayak badly damaged no injury to person,1130hrs,Great White Shark est 3m (10ft),,,2025-07-28,July,2020,M,19,18–29,No,Paddling,Unprovoked
25th July,2025,FRENCH POLYNESIA,Nuku Hiva,Taiohae Bay,Swimming,Injuries to right forearm left hand and calf was missing,Not stated,Undetermined,,,2025-07-25,July,2020,M,7,0–17,No,Swimming/Wading,Unprovoked
22nd July,2025,SPAIN,Majorca,Playa de Palma beach,Swimming,Gash to leg,1130hrs,Undetermined,,,2025-07-22,July,2020,F,85,60+,No,Swimming/Wading,Unprovoked
