date,year,country,state,location,activity,injury,time,species,unnamed_21,unnamed_22,incident_date,month,decade,sex_clean,age_numeric,age_group,fatal,activity_group,incident_type
30-Aug-2000,2000,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",Jumped into the water,FATAL,16h00,"Thought to involve a 2.7 m [9'], 400-lb bull shark",,,,,2000,M,69,60+,Yes,Other/Unknown,Unprovoked
Reported 27-Aug-2000,2000,USA,Alaska,Prince William Sound,Conducting research,Leg bitten by netted shark PROVOKED INCIDENT,,Salmon shark,,,,,2000,M,,Unknown,No,Other/Unknown,Provoked
21-Aug-2000,2000,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming out to porpoises,"Severe gash to left hand above wrist, almost severing hand",,,,,,,2000,M,,Unknown,No,Swimming/Wading,Unprovoked
15-Aug-2000,2000,USA,Hawaii,"Kanaha Beach, Maui","Windsurfing, but sitting on his board",Left calf lacerated,11h50,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]",,,,,2000,M,53,45–59,No,Surfing,Unprovoked
13-Aug-2000,2000,USA,Florida,"South Jacksonville Beach, Duval County",Surfing / Wading,Minor lacerations to the dorsum of the right foot,16h30,juvenile shark,,,,,2000,M,27,18–29,No,Surfing,Unprovoked
12-Aug-2000,2000,USA,Florida,"St. Augustine, St. Johns County",Standing,Severely bitten on lower leg,16h45,"Blacktip shark, 2.4 m to 3 m [8' to 10']",,,,,2000,F,44,30–44,No,Other/Unknown,Unprovoked
11-Aug-2000,2000,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,Non-fatal,Possibly same incident as 2000.08.21,Shark involvement not confirmed,,,,,2000,M,,Unknown,Unknown,Swimming/Wading,Questionable
10-Aug-2000,2000,USA,Florida,Florida Keys,Attempting to illegally enter the USA,Shark involvement probably post-mortem,,Shark involvement prior to death was not confirmed,,,,,2000,M,23,18–29,Unknown,Other/Unknown,Questionable
Aug-2000,2000,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,FATAL,,Thought to involve a Zambesi shark,,,,,2000,Unknown,,Unknown,Yes,Swimming/Wading,Unprovoked
25-Jul-2000,2000,USA,Florida,"New Smyrna Beach, Volusia County",,Minor laceration on left leg,,,,,,,2000,M,5,0–17,No,Other/Unknown,Unprovoked
22-Jul-2000,2000,USA,Florida,"Big Pine Key, Monroe County",Snorkeling,Leg pinched,,"Nurse shark, 1.5 m [5']",,,,,2000,F,45,45–59,No,Diving/Snorkeling,Unprovoked
17-Jul-2000,2000,USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County",Surfing,Foot lacerated,,,,,,,2000,M,16,0–17,No,Surfing,Unprovoked
16-Jul-2000,2000,USA,North Carolina,"Holden Beach, Brunswick County",Surfing,Minor lacerations on foot,,1.8 m [6'] grey-colored shark,,,,,2000,M,14,0–17,No,Surfing,Unprovoked
16-Jul-2000,2000,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,Hand lacerated,,,,,,,2000,M,15,0–17,No,Surfing,Unprovoked
15-Jul-2000,2000,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,"No injury, flung off board",,,,,,,2000,M,18,18–29,No,Surfing,Unprovoked
15-Jul-2000,2000,SOUTH AFRICA,KwaZulu-Natal,South of Durban,Surfing,No Injury,After Dusk,,,,,,2000,M,,Unknown,No,Surfing,Unprovoked
12-Jul-2000,2000,TONGA,Minerva Reef,Treated at Nuku-alofa,Scuba diving,Left arm bitten,,"Grey reef shark, 2 m [6.75']",,,,,2000,M,69,60+,No,Diving/Snorkeling,Unprovoked
10-Jul-2000,2000,USA,Florida,"Daytona Beach, Volusia County",Wading,Minor laceration & 3 punctures to right foot,15h45,,,,,,2000,M,13,0–17,No,Swimming/Wading,Unprovoked
09-Jul-2000,2000,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",Swimming,Knee & calf lacerated,18h00,,,,,,2000,M,41,30–44,No,Swimming/Wading,Unprovoked
07-Jul-2000,2000,USA,Texas,"Mustang Island, Corpus Christi",Jumping,Ankle & foot lacerated,,"Lemon shark, 2.1 m to 2.4 m [7' to 8']",,,,,2000,M,5,0–17,No,Other/Unknown,Unprovoked
06-Jul-2000,2000,USA,North Carolina,"Pine Island, Corolla, Currituck County",Playing,Calf lacerated,16h30,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?",,,,,2000,F,12,0–17,No,Other/Unknown,Unprovoked
04-Jul-2000,2000,USA,Florida,"Daytona Beach, Volusia County",Wading,Left inner thigh,18h00,,,,,,2000,F,20,18–29,No,Swimming/Wading,Unprovoked
04-Jul-2000,2000,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County","Spearfishing, holding mesh bag with speared fish",Lower right calf lacerated,12h00,"Nurse shark, 1.2 m [4']",,,,,2000,F,55,45–59,No,Fishing,Unprovoked
02-Jul-2000,2000,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Wading,Left calf & hand lacerated,17h00,0.9 m [3'] shark,,,,,2000,F,13,0–17,No,Swimming/Wading,Unprovoked
02-Jul-2000,2000,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,Left thigh lacerated,14h45,"0.9 m [3'] shark, probably a blacktip or spinner shark",,,,,2000,F,19,18–29,No,Other/Unknown,Unprovoked
Jul-2000,2000,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,FATAL,,Thought to involve a Zambesi shark,,,,,2000,Unknown,,Unknown,Yes,Swimming/Wading,Unprovoked
30-Jun-2000,2000,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",,FATAL,,,,,,,2000,M,,Unknown,Yes,Other/Unknown,Unprovoked
29-Jun-2000,2000,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",Fishing,"No injury, shark bit the dinghy",,"Mako shark, 2 m [6.75']",,,,,2000,M,,Unknown,No,Fishing,Watercraft
19-Jun-2000,2000,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Standing,Right ankle lacerated,07h50,,,,,,2000,M,52,45–59,No,Other/Unknown,Unprovoked
13-Jun-2000,2000,USA,Florida,"Pensacola Bay, Escambia County",Sailing,"No injury to occupants, boat's rear platform bitten",14h30,"Bull shark, 2.4 m [8']",,,,,2000,Unknown,,Unknown,No,Boating,Watercraft
10-Jun-2000,2000,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Surfing,Foot lacerated,16h00,"Blacktip shark, 1.2 m to 1.8 m [4' to 6']",,,,,2000,M,17,0–17,No,Surfing,Unprovoked
09-Jun-2000,2000,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,Puncture wounds on right hip and arm,06h45,Bull shark?,,,,,2000,M,55,45–59,No,Swimming/Wading,Unprovoked
09-Jun-2000,2000,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,Right forearm severed surgically amputated above elbow,06h45,Bull shark,,,,,2000,M,44,30–44,No,Swimming/Wading,Unprovoked
02-Jun-2000,2000,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,Right forearm lacerated,14h55,,,,,,2000,M,13,0–17,No,Diving/Snorkeling,Unprovoked
Early Jun-2000,2000,TANZANIA,,"Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam",Swimming,"FATAL, legs severed",,Thought to involve a Zambesi shark,,,,,2000,M,,Unknown,Yes,Swimming/Wading,Unprovoked
13-May-2000,2000,NEW CALEDONIA,South Province,Mont Dore,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",Sharks prevented recovery of remains,,Tiger sharks & bull sharks (20 sharks in all),,,,,2000,Unknown,,Unknown,Yes,Other/Unknown,Sea disaster
09-May-2000,2000,AUSTRALIA,Victoria,"Koonya Beach, Melbourne",,Probable drowning,,Shark involvement prior to death was not confirmed,,,,,2000,Unknown,,Unknown,Unknown,Other/Unknown,Questionable
07-May-2000,2000,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Standing,Left leg & ankle bitten,,,,,,,2000,M,9,0–17,No,Other/Unknown,Unprovoked
07-May-2000,2000,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Diving,FATAL,,,,,,,2000,M,,Unknown,Yes,Diving/Snorkeling,Unprovoked
14-Apr-2000,2000,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Walking,Left foot lacerated,11h57,,,,,,2000,M,34,30–44,No,Other/Unknown,Unprovoked
09-Apr-2000,2000,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",Boogie boarding / wading,Puncture marks on right thigh,14h30,,,,,,2000,M,,Unknown,No,Surfing,Unprovoked
31-Mar-2000,2000,USA,Florida,Santa Rosa Sound Escambia County,Fishing,"No Injury, bumped by shark",,,,,,,2000,M,,Unknown,No,Fishing,Unprovoked
30-Mar-2000,2000,AUSTRALIA,Queensland,"Main Beach, Gold Coast",Swimming,Left calf bitten,14h00,2.5 m shark,,,,,2000,M,26,18–29,No,Swimming/Wading,Unprovoked
26-Mar-2000,2000,USA,Florida,"Juno Beach, Palm Beach County",Boogie boarding,Right knee lacerated,11h15,1.8 m [6'] shark,,,,,2000,F,14,0–17,No,Surfing,Unprovoked
24-Mar-2000,2000,USA,Florida,"Floridana Beach, Brevard County",Surfing,Left hand bitten,14h00,1.2 m [4'] shark,,,,,2000,M,37,30–44,No,Surfing,Unprovoked
15-Mar-2000,2000,NEW CALEDONIA,North Province,Poum,Spearfishing,FATAL,Morning,Tiger shark?,,,,,2000,M,35,30–44,Yes,Fishing,Unprovoked
14-Mar-2000,2000,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",Surfing,No Injury,19h30,"Tiger shark, 4 m [13'] ?",,,,,2000,M,,Unknown,No,Surfing,Unprovoked
10-Mar-2000,2000,AUSTRALIA,New South Wales,Parramatta River,Rowing,No Injury to occupants,P.M.,2 m to 2.5 m [6.75' to 8.25'] shark,,,,,2000,Unknown,,Unknown,No,Paddling,Watercraft
09-Mar-2000,2000,AUSTRALIA,New South Wales,Parramatta River,Rowing,No injury to occupants; oar bitten,,,,,,,2000,Unknown,,Unknown,No,Paddling,Watercraft
Reported      03-Mar-2000,2000,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,Kayaking,Reported as shark attack but probable drowning,,Shark involvement questionable,,,,,2000,M,27,18–29,Unknown,Paddling,Questionable
02-Mar-2000,2000,AUSTRALIA,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",Swimming,Survived,,,,,,,2000,M,,Unknown,No,Swimming/Wading,Unprovoked
Mar-2000,2000,USA,Louisiana,Midnight Lump (38 miles offshore),Spearfishing,"No injury to diver, speargun damaged",16h00,"Shortfin mako shark, 3 m to 3.4 m [10' to 11']",,,,,2000,M,39,30–44,No,Fishing,Unprovoked
21-Feb-2000,2000,USA,Florida,"Riviera Beach, Palm Beach County",,Right calf bitten,Afternoon,,,,,,2000,M,27,18–29,No,Other/Unknown,Unprovoked
19-Feb-2000,2000,SOUTH AFRICA,Western Cape Province,Struis Bay,Body surfing,Foot bitten,14h00,"White shark, 2.5 m",,,,,2000,M,,Unknown,No,Surfing,Unprovoked
14-Feb-2000,2000,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,Feeding prawns to captive sharks,Fingers bitten PROVOKED INCIDENT,,"Miami, a 60 cm blacktip shark and two 60 cm bamboo catsharks",,,,,2000,M,,Unknown,No,Other/Unknown,Provoked
03-Feb-2000,2000,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,"No injury, wetsuit punctured",,,,,,,2000,M,12,0–17,No,Surfing,Unprovoked
01-Feb-2000,2000,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",Surfing,Hand bitten,,3 m [10'] shark,,,,,2000,M,26,18–29,No,Surfing,Unprovoked
Reported 28-Jan-2000,2000,REUNION,,Saint Pierre,Canoe with 3 men onboard sank,FATAL,,,,,,,2000,M,,Unknown,Yes,Paddling,Watercraft
05-Jan-2000,2000,THAILAND,Phang nga Province,Phang nga Island,Diving,FATAL,,,,,,,2000,M,35,30–44,Yes,Diving/Snorkeling,Unprovoked
2000,2000,USA,Florida,"Boca Grande, Lee County",Fishing for tarpon,No injury to occupant; shark bit propeller,,Hammerhead shark,,,,,2000,M,,Unknown,No,Fishing,Watercraft
31-Dec-1999,1999,NEW ZEALAND,South Island,Oreti Beach,Surfing,Six puncture wounds on leg,,Sevengill shark,,,,,1990,M,15,0–17,No,Surfing,Unprovoked
31-Dec-1999,1999,NEW ZEALAND,South Island,Oreti Beach,Swimming,Arm bitten,,Sevengill shark,,,,,1990,F,13,0–17,No,Swimming/Wading,Unprovoked
31-Dec-1999,1999,NEW ZEALAND,South Island,Oreti Beach,Bathing,A cut on her hand,,Sevengill shark,,,,,1990,F,12,0–17,No,Swimming/Wading,Unprovoked
26-Dec-1999,1999,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,"Leg bitten, surgically amputated",,"Thought to involve a white, bull or tiger shark",,,,,1990,M,18,18–29,No,Surfing,Unprovoked
14-Dec-1999,1999,USA,California,"Off Ventura, Anacapa & Santa Cruz Islands",Scuba diving,"Presumed taken by a shark, but forensic evidence suggested otherwise.",,Shark involvement not confirmed,,,,,1990,M,,Unknown,Unknown,Diving/Snorkeling,Questionable
06-Dec-1999,1999,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",Spearfishing,"Lateral right thigh bitten. Thought to involve a 1.2 to 1.5 m tubarão da gralha preta - a blacktip shark, C. limbatus",09h30,Shark involvement not confirmed,,,,,1990,M,39,30–44,No,Fishing,Questionable
02-Dec-1999,1999,USA,Florida,"Boynton Beach, Palm Beach County",Surfing,Right arm & fingers lacerated,12h30,,,,,,1990,M,35,30–44,No,Surfing,Unprovoked
30-Nov-1999,1999,USA,Florida,"Palm Beach, Palm Beach County",Surfing,Lacerations to hand & wrist,15h30,,,,,,1990,M,19,18–29,No,Surfing,Unprovoked
23-Nov-1999,1999,USA,Hawaii,"Big Island off Kona Village Resort, North Kona",Swimming,"Buttock bitten, hands lacerated",17h20,"Tiger shark, 1.8 m to 2.4 m [6' to 8']",,,,,1990,F,51,45–59,No,Swimming/Wading,Unprovoked
15-Nov-1999,1999,USA,California,"Waddell Reef, Santa Cruz County",Surfing (sitting on his board),"No injury, board bitten",,White shark,,,,,1990,M,,Unknown,No,Surfing,Unprovoked
13 -Nov-1999,1999,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Surfing,Lower legs lacerated,,"White shark, 3 m [10']",,,,,1990,M,35,30–44,No,Surfing,Unprovoked
06-Nov-1999,1999,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay","Spearfishing, but swimming at surface",Upper right thigh bitten,10h30,1.3 to 1.6 m shark,,,,,1990,M,39,30–44,No,Surfing,Unprovoked
Nov-1999,1999,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,Swimming,Lacerations to leg,,"Grey reef shark, 1.2 m [4']",,,,,1990,M,12,0–17,No,Swimming/Wading,Unprovoked
Nov-1999,1999,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,Swimming,Lacerations to buttocks,,"Grey reef shark, 1.2 m [4']",,,,,1990,M,12,0–17,No,Swimming/Wading,Unprovoked
30-Oct-1999,1999,USA,Florida,"Daytona Beach, Volusia County",Body boarding,Right foot lacerated,17h30,,,,,,1990,M,45,45–59,No,Surfing,Unprovoked
30-Oct-1999,1999,USA,Florida,"Gulfstream Park beach, Palm Beach County",Body surfing,"Shark bit 8"" chunk from swim fin",15h00,,,,,,1990,M,13,0–17,No,Surfing,Unprovoked
20-Oct-1999,1999,USA,Florida,"Pet Den, Satellite Beach, Brevard County",Surfing,Lacerations to right hand & wrist,Noon,"Lemon shark, 2.7 m [9']",,,,,1990,M,,Unknown,No,Surfing,Unprovoked
01-Oct-1999,1999,USA,Hawaii,Old Kona Airport State Park,"Surfing, lying on surfboard",Right arm bitten,18h30,"Tiger shark, 1.8 m to 2.4 m [6' to 8']",,,,,1990,M,16,0–17,No,Surfing,Unprovoked
29-Sep-1999,1999,USA,Florida,"South side of Ponce de Leon Inlet, Volusia County",Wading to shore after surfing,3 one-inch lacerations to sole of right foot,18h45,,,,,,1990,M,22,18–29,No,Surfing,Unprovoked
24-Sep-1999,1999,ITALY,Adriatic Sea,San Benedetto,Fishing,No Injury to occupants,,Said to involve a 7 m [23'] white shark,,,,,1990,Unknown,,Unknown,No,Fishing,Watercraft
19-Sep-1999,1999,USA,California,"North of Pidgeon Point, San Mateo County",Kayaking,"No injury, but kayak scraped & dented",18h30,White shark,,,,,1990,M,37,30–44,No,Paddling,Watercraft
Reported 16-Sep-1999,1999,USA,Florida,"Cape Canaveral, Brevard County",Wading,Thigh (posterior) bitten,,Unidentified,,,,,1990,F,61,60+,No,Swimming/Wading,Unprovoked
10-Sep-1999,1999,USA,South Carolina,"Isle of Palms, Charleston County",Wading,Toes lacerated,Afternoon,,,,,,1990,F,10,0–17,No,Swimming/Wading,Unprovoked
05-Sep-1999,1999,USA,Florida,"Fort Pierce Inlet, St. Lucie County",Surfing,Right foot bitten,,1.5 m to 1.8 m [5' to 6'] shark,,,,,1990,M,13,0–17,No,Surfing,Unprovoked
04-Sep-1999,1999,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",Wading,Left knee nipped by captive shark PROVOKED INCIDENT,,0.9 m [3'] shark,,,,,1990,M,7,0–17,No,Swimming/Wading,Provoked
04-Sep-1999,1999,USA,Florida,"Ponce Inlet, Volusia County",Wading with surfboard,Right foot bitten,19h00,,,,,,1990,M,39,30–44,No,Surfing,Unprovoked
26-Aug-1999,1999,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Surfing,3-inch laceration to right foot,14h30,"""a small shark""",,,,,1990,M,28,18–29,No,Surfing,Unprovoked
24-Aug-1999,1999,USA,North Carolina,"Fort Fisher, New Hanover County",Surfing,Foot injured,,,,,,,1990,M,,Unknown,No,Surfing,Unprovoked
23-Aug-1999,1999,MARSHALL ISLANDS,Ralik Chain,Kwajalein Atoll,Fishing,Lacerations to left leg,Morning,7' shark,,,,,1990,M,23,18–29,No,Fishing,Unprovoked
21-Aug-1999,1999,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Small lacerations to right foot,18h40,,,,,,1990,M,17,0–17,No,Surfing,Unprovoked
16-Aug-1999,1999,USA,South Carolina,"Grand Strand, Myrtle Beach, Horry County",Lying prone in 2' of water,"Ear lacerated, cuts on scalp, back, arm & shoulder",17h40,1.8 m [6'] shark,,,,,1990,M,10,0–17,No,Other/Unknown,Unprovoked
05-Aug-1999,1999,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,Right ankle & heel lacerated,11h25,4' to 5' shark,,,,,1990,M,62,60+,No,Surfing,Unprovoked
05-Aug-1999,1999,BAHAMAS,Abaco Islands,Grand Cay,Spearfishing & holding catch,Right arm bitten,17h00,2.7 m [9'] bull shark or Caribbean reef shark,,,,,1990,M,35,30–44,No,Fishing,Unprovoked
29-Jul-1999,1999,SOUTH AFRICA,Western Cape Province,Kogebaai,Surfing,Right thigh bitten,14h00,"White shark, 3 m to 5 m [10' to 16.5']",,,,,1990,M,42,30–44,No,Surfing,Unprovoked
26-Jul-1999,1999,USA,Florida,"Two miles off Key Colony Beach, Monroe County",Swimming with dolphins,Ankle bitten,18h25,"Bull shark, 2.1 m [7']",,,,,1990,M,43,30–44,No,Swimming/Wading,Unprovoked
21-Jul-1999,1999,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),Surfing,Right thigh & buttock bitten,10h28,"Tiger shark, 1.8 m to 2.4 m [6' to 8']",,,,,1990,M,43,30–44,No,Surfing,Unprovoked
15-Jul-1999,1999,SOUTH AFRICA,Western Cape Province,Buffels Bay (near Knysna),Boogie boarding,FATAL,11h15,White shark,,,,,1990,M,14,0–17,Yes,Surfing,Unprovoked
06-Jul-1999,1999,USA,South Carolina,Charleston,,Five cuts on his heel,,,,,,,1990,M,,Unknown,No,Other/Unknown,Unprovoked
04-Jul-1999,1999,USA,Florida,"Pensacola Beach, Escambia County",Wading in school of baitfish,Lacerations knee to ankle,Afternoon,"Blacktip shark, 1.8 m [6']",,,,,1990,F,30,30–44,No,Swimming/Wading,Unprovoked
03-Jul-1999,1999,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",Surfing,Leg & board bitten,Morning,"White shark, 4 m [13']",,,,,1990,M,29,18–29,No,Surfing,Unprovoked
19-Jun-1999,1999,USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Adrift in a life jacket,9-inch gash in left foot,,1.2 m [4'] shark,,,,,1990,M,20,18–29,No,Other/Unknown,Unprovoked
17-Jun-1999,1999,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,Right hand and wrist lacerated,09h15,3' to 4' shark,,,,,1990,M,21,18–29,No,Surfing,Unprovoked
12-Jun-1999,1999,USA,Florida,"Atlantiic Beach, Duval County",Swimming,8-inch bite on calf,13h15,,,,,,1990,M,41,30–44,No,Swimming/Wading,Unprovoked
09-Jun-1999,1999,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",Splashing / wading,Knee lacerated,16h00,Blacktip or spinner shark,,,,,1990,M,5,0–17,No,Swimming/Wading,Unprovoked
29-May-1999,1999,AUSTRALIA,South Australia,"Hardwicke Bay, Yorke Peninsula",Windsurfing,"FATAL, body not recovered",14h30,Thought to involve a white shark,,,,,1990,M,22,18–29,Yes,Surfing,Unprovoked
01-May-1999,1999,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,Leg & hands bitten,Afternoon,"Tiger shark, 2.5 m [8.25']",,,,,1990,M,21,18–29,No,Surfing,Unprovoked
22-Apr-1999,1999,MAURITIUS,Grand Baie,Pointe aux Canonniers,Swimming,Thigh bitten,06h00,"Grey reef shark, 1.5 m",,,,,1990,F,41,30–44,No,Swimming/Wading,Unprovoked
11-Apr-1999,1999,REUNION,L' Etang Salé-les-Bains,Roche-aux-Oiseaux,Swimming after being swept into sea by a large wave,FATAL,10h30,3 bull sharks,,,,,1990,M,52,45–59,Yes,Swimming/Wading,Unprovoked
01-Apr-1999,1999,USA,Florida,"Hobe Sound Beach, Palm Beach County",Surfing,Ankle bitten,,,,,,,1990,M,14,0–17,No,Surfing,Unprovoked
Reported 18-Mar-1999 ,1999,NEW ZEALAND,South Island,Codfish Island (Whenua Hau) west of Stewart Island,Spearfishing & diving for paua,No injury,,"Sevengill shark, 2.4 m [8']",,,,,1990,M,,Unknown,No,Fishing,Unprovoked
18-Mar-1999,1999,BRAZIL,Rio Grande de Norte,Atol das Rochas,Scientific research (Dr. Sonny Gruber's student),Grabbed small shark & it bit him PROVOKED INCIDENT,,,,,,,1990,M,,Unknown,No,Other/Unknown,Provoked
18-Mar-1999,1999,USA,Hawaii,"Olowalu side of Lahina, Maui","Swimming, towing a kayak","FATAL, arm bitten",20h30,,,,,,1990,F,29,18–29,Yes,Swimming/Wading,Unprovoked
14-Mar-1999,1999,NEW CALEDONIA,Loyalty Islands,Ouvea,Spearfishing,Multiple injuries,Morning,200 to 300 kg shark,,,,,1990,M,,Unknown,No,Fishing,Unprovoked
14-Mar-1999,1999,NEW ZEALAND,,,Fishing,Right thigh bitten PROVOKED INCIDENT,,"Mako shark, 1.3 m gaffed",,,,,1990,M,28,18–29,No,Fishing,Provoked
08-Mar-1999,1999,USA,Hawaii,"Kealia Beach, Kaua'i",Body surfing or body boarding,Bruised right leg,,,,,,,1990,M,18,18–29,No,Surfing,Unprovoked
05-Mar-1999,1999,USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui",Swimming near pod of whales,Tissue removed knee to thigh,10h45,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity,,,,,1990,F,29,18–29,No,Swimming/Wading,Unprovoked
26-Feb-1999,1999,USA,North Carolina,Frying Pan Shoals,Cruising,"No injury to occupants, boat sank after colliding with shark",,Basking shark,,,,,1990,Unknown,,Unknown,No,Other/Unknown,Watercraft
23-Feb-1999,1999,AUSTRALIA,New South Wales,Scotts Head,Surfing,"Left hand & forearm bitten, board bitten",Evening,Bronze whaler or tiger shark,,,,,1990,M,35,30–44,No,Surfing,Unprovoked
03-Feb-1999,1999,USA,Florida,"Hobe Sound, Martin County",Surfing,Left hand bitten,15h30,Spinner shark,,,,,1990,M,25,18–29,No,Surfing,Unprovoked
29-Jan-1999,1999,MAURITIUS,,Belle-Mare,Spearfishing,Legs & torso injured,,Bull shark,,,,,1990,M,47,45–59,No,Fishing,Unprovoked
 13-Jan-1999,1999,SOUTH AFRICA,Eastern Cape Province,Bonza Beach,Paddle Skiing,"No Injury, ski bitten",,"White shark, 4 m [13']",,,,,1990,M,,Unknown,No,Paddling,Unprovoked
01-Jan-1999,1999,NEW ZEALAND,North Island,"Papamoa, near Tauranga, Bay of Plenty",Inflatable boat,No injury to occupant: boat lost,,,,,,,1990,Unknown,,Unknown,No,Boating,Watercraft
Reported 03-Jan-1999,1999,AUSTRALIA,Northern Territory,Gulf of Carpenteria,Fishing,"Cut foot, but injury caused by fishing line, not the shark",,Shark involvement not confirmed,,,,,1990,F,37,30–44,Unknown,Fishing,Questionable
03-Jan-1999,1999,REUNION,Saint-Leu,Pointe au Sel,Spearfishing,FATAL,,Bull shark,,,,,1990,Unknown,,Unknown,Yes,Fishing,Unprovoked
1999,1999,SOUTH AFRICA,Western Cape Province,"Hospital Rock, Dyers Island",Spearfishing,Heel lacerated,12h00,"White shark, 4.6 m [15']",,,,,1990,M,30,30–44,No,Fishing,Unprovoked
1999,1999,USA,Virginia,"Sandridge Beach, Virginia Beach, Princess Anne County",Body surfing,Abrasions,,Shark involvement not confirmed,,,,,1990,M,,Unknown,Unknown,Surfing,Questionable
24-Dec-1998,1998,USA,Florida,"Ormond Beach, Volusia County",Surfing,Left foot bitten after he accidentally stepped on the shark PROVOKED INCIDENT,08h30,,,,,,1990,M,19,18–29,No,Surfing,Provoked
22-Dec-1998,1998,AUSTRALIA,South Australia,Middleton Beach,Standing,2 puncture wounds in left leg,15h30,,,,,,1990,F,21,18–29,No,Other/Unknown,Unprovoked
Reported 20-Dec-1998,1998,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",Surfing,Leg bitten,17h00,Possibly a white shark,,,,,1990,M,18,18–29,No,Surfing,Unprovoked
18-Dec-1998,1998,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Splashing,Right leg bitten,,,,,,,1990,M,14,0–17,No,Other/Unknown,Unprovoked
15-Dec-1998,1998,AUSTRALIA,South Australia,Middleton Beach,Surfing,Leg injured,Afternoon,,,,,,1990,F,21,18–29,No,Surfing,Unprovoked
21-Nov-1998,1998,USA,Florida,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County",Swimming,FATAL,14h00,Tiger shark,,,,,1990,M,9,0–17,Yes,Swimming/Wading,Unprovoked
14-Nov-1998,1998,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Right foot bitten,08h45,1.2 m [4'] shark,,,,,1990,M,14,0–17,No,Surfing,Unprovoked
11-Nov-1998,1998,USA,Florida,"South Beach Park, Indian River County",Walking,Survived,17h00,"A ""small shark""",,,,,1990,M,13,0–17,No,Other/Unknown,Unprovoked
05-Nov-1998,1998,USA,Oregon,Winchester Bay,Surfing,No injury,,"White shark, 5 m to 6 m [16.5' to 20']",,,,,1990,M,32,30–44,No,Surfing,Unprovoked
